RouteID|BMP|EMP|ValueDate|Comments|ValueNumeric|StateID|BeginDate|ValueText|DataItem
19203400000NB|10.1|10.2|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|10.2|10.3|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|10.3|10.4|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|10.4|10.41|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|10.41|10.5|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|10.5|10.6|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|10.6|10.7|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|10.7|10.8|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|10.8|10.9|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|10.9|11.0|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|11.0|11.1|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
19203400000NB|11.1|11.2|1998|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
