RouteID|BeginPoint|EndPoint|ValueDate|Comments|ValueNumeric|StateCode|BeginDate|ValueText|DataItem
30200520000EB|26.08|26.53|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
30200520004NB|0.096|0.39|2009|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
30201190000NB|11.73|12.8|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
30201190000NB|12.88|14.28|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
3030080000000|7.05|9.46|2012|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|0.0|0.1|2017|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|0.1|0.11|2017|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|0.11|1.25|2017|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|1.29|1.66|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|1.66|2.0|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|2.0|2.17|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|2.17|2.3|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|2.3|2.7|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|2.7|2.75|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|2.75|2.8|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|2.8|4.22|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|4.22|4.4|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|4.4|4.5|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|4.5|5.29|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|5.29|5.3|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|5.3|5.4|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50100640000EB|5.4|5.87|2015|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50200520000EB|5.8|6.51|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50200520000EB|29.12|31.4|2008|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50200600000EB|0.0|0.16|2018|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50200600000EB|0.16|0.24|2018|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50200600000EB|0.49|0.72|2018|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50200600000EB|1.13|1.83|2018|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50200600000EB|3.79|4.04|2011|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
50200600000EB|4.04|4.39|2011|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5030152000000|29.86|30.39|2008|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5030152000000|40.4|43.98|2020|New 2021||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5030152000000|43.98|44.59|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040001000000|2.16|2.29|2020|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040003000000|3.75|3.85|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040003000000|3.94|4.06|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040003010000|0.09|0.65|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040003010000|0.65|0.68|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040003020000|0.0|0.64|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040003020000|0.64|1.25|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040007000000|17.84|18.87|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040007000000|19.35|19.76|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040008000000|0.0|0.45|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040009000000|0.65|1.92|2011|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040012000000|3.176|4.65|2016|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040060030000|1.37|1.47|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040060040000|1.24|2.4|2012|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040060070000|0.24|0.87|2018|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
5040060070000|0.87|1.44|2018|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
17200500000EB|1.53|3.37|1969|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
17200500000EB|3.42|3.8|1969|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
17200500000EB|6.11|7.18|1969|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
1740011000000|4.24|4.7|1980|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
1740011000000|4.7|5.24|1980|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
