County_Code,County,SignSys_Code,SignSysDescript,Miles,Miles_Percentage,Lane_Miles,Lanes_Percentage,Annual_Vehicle_Miles_Millions,Daily_Vehicle_Miles_Travel_Thousands,VMT_Percentage,RowOrder
43,Ritchie,4,"County Routes                                     ",641.36,82.64,1282.71,80.52,20.05,54.94,17.39,1
43,Ritchie,6,"State Park and Forest Roads                       ",5.83,0.75,11.66,0.73,0.08,0.23,0.07,1
43,Ritchie,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
43,Ritchie,8,"Harp Routes                                       ",2.77,0.36,5.54,0.35,0.03,0.07,0.02,1
43,Ritchie,99,Total County,776.1,100,1593.02,100,115.28,315.84,100,2
44,Roane,1,"Interstates                                       ",16.99,2.14,61.15,3.78,51.84,142.03,40.14,1
44,Roane,2,"US Routes                                         ",44.46,5.59,88.92,5.5,35.42,97.03,27.42,1
44,Roane,3,"WV Routes                                         ",40.94,5.15,81.88,5.07,16.58,45.42,12.84,1
44,Roane,4,"County Routes                                     ",680.58,85.64,1361.17,84.2,25.17,68.97,19.49,1
44,Roane,6,"State Park and Forest Roads                       ",1.33,0.17,2.66,0.16,0,0.01,0,1
44,Roane,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
44,Roane,8,"Harp Routes                                       ",10.37,1.3,20.73,1.28,0.14,0.39,0.11,1
44,Roane,99,Total County,794.67,100,1616.51,100,129.15,353.85,100,2
45,Summers,1,"Interstates                                       ",12.61,2.08,45.18,3.67,38.3,104.94,31.65,1
45,Summers,2,"US Routes                                         ",0,0,0,0,0,0,0,1
45,Summers,3,"WV Routes                                         ",78.84,13.02,156.46,12.72,62,169.87,51.23,1
45,Summers,4,"County Routes                                     ",482.83,79.73,965.67,78.51,19.38,53.08,16.01,1
45,Summers,6,"State Park and Forest Roads                       ",27.33,4.51,54.66,4.44,1.31,3.59,1.08,1
45,Summers,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
45,Summers,8,"Harp Routes                                       ",3.99,0.66,7.98,0.65,0.05,0.12,0.04,1
45,Summers,99,Total County,605.6,100,1229.95,100,121.04,331.6,100,2
46,Taylor,1,"Interstates                                       ",0,0,0,0,0,0,0,1
46,Taylor,2,"US Routes                                         ",49.99,12.78,99.99,12.79,81.83,224.2,72.88,1
46,Taylor,3,"WV Routes                                         ",13.03,3.33,26.06,3.33,6.8,18.64,6.06,1
46,Taylor,4,"County Routes                                     ",310.66,79.4,620.87,79.39,22.58,61.87,20.11,1
46,Taylor,6,"State Park and Forest Roads                       ",3.07,0.78,6.14,0.79,0.24,0.65,0.21,1
46,Taylor,7,"Federal Aid Non-State (FANS)                      ",2.33,0.6,4.66,0.6,0.71,1.95,0.63,1
