RouteID|BMP|EMP|ValueNumeric|DataItem|BeginDate|ValueText|ValueDate|StateID|Comments
1940003000000|2.02|2.36|0.12|Curves_A|01/01/2024|||54|
3430041000000|0.03|2.59|0.909|Curves_A|01/01/2024|||54|
41100640007WB|0.0|0.45|0.152|Curves_A|01/01/2024|||54|
2030214000000|8.0|8.12|0.101|Curves_A|01/01/2024|||54|
0274256001900|0.0|0.66|0.015|Curves_A|01/01/2024|||54|
3540039000000|0.01|0.42|0.273|Curves_A|01/01/2024|||54|
3540039000000|0.42|1.56|0.457|Curves_A|01/01/2024|||54|
3540039000000|1.56|2.05|0.34|Curves_A|01/01/2024|||54|
1577271001900|0.4|1.18|0.08|Curves_A|01/01/2024|||54|
4240219220000|0.0|0.16|0.017|Curves_A|01/01/2024|||54|
4040025020000|0.28|0.38|0.049|Curves_A|01/01/2024|||54|
4040025020000|0.38|0.52|0.043|Curves_A|01/01/2024|||54|
0830016000000|19.19|20.35|0.59|Curves_A|01/01/2024|||54|
36200330000EB|5.49|5.92|0.041|Curves_A|01/01/2024|||54|
1940017040000|0.63|0.92|0.29|Curves_A|01/01/2024|||54|
0630193000000|0.46|3.55|0.16|Curves_A|01/01/2024|||54|
0240013000000|0.43|1.03|0.087|Curves_A|01/01/2024|||54|
0240013000000|1.03|1.5|0.006|Curves_A|01/01/2024|||54|
0240013000000|2.75|3.716|0.173|Curves_A|01/01/2024|||54|
1771783001900|0.0|0.64|0.07|Curves_A|01/01/2024|||54|
3140857000000|0.5|1.41|0.03|Curves_A|01/01/2024|||54|
3140857000000|5.11|5.59|0.07|Curves_A|01/01/2024|||54|
