ValueDate,RouteID,BeginPoint,EndPoint,IRI,SURFACE_TYPE,RUTTING,FAULTING,CRACKING_PERCENT
2025,01201190000NB,14.7,14.8,183.1,ASP,0.09,0.0,0.0
2025,01201190000NB,14.8,14.9,78.5,ASP,0.06,0.0,0.0
2025,01201190000NB,14.9,15.0,49.6,ASP,0.05,0.0,0.0
2025,01201190000NB,15.0,15.1,72.1,ASP,0.05,0.0,0.0
2025,01201190000NB,15.1,15.2,76.4,ASP,0.05,0.0,0.0
2025,01201190000NB,15.2,15.3,71.3,ASP,0.05,0.0,0.0
2025,01201190000NB,15.3,15.4,71.6,ASP,0.05,0.0,0.0
2025,01201190000NB,15.4,15.5,71.9,ASP,0.06,0.0,0.0
2025,01201190000NB,15.5,15.6,72.8,ASP,0.05,0.0,0.0
2025,01201190000NB,15.6,15.7,95.5,ASP,0.05,0.0,0.0
2025,01201190000NB,15.7,15.8,79.8,ASP,0.05,0.0,0.0
2025,01201190000NB,15.8,15.9,81.9,ASP,0.05,0.0,0.0
2025,01201190000NB,15.9,16.0,198.5,CRC,0.08,0.0,0.0
2025,01201190000NB,16.0,16.1,65.1,ASP,0.06,0.0,0.0
2025,01201190000NB,16.1,16.2,85.3,ASP,0.05,0.0,0.0
2025,01201190000NB,16.2,16.3,115.7,ASP,0.06,0.0,0.0
2025,01201190000NB,16.3,16.4,99.4,ASP,0.06,0.0,0.0
2025,01201190000NB,16.4,16.5,90.9,ASP,0.05,0.0,0.0
2025,01201190000NB,16.5,16.6,77.3,ASP,0.06,0.0,0.0
2025,01201190000NB,16.6,16.7,104.4,ASP,0.05,0.0,0.0
2025,01201190000NB,16.7,16.8,72.2,ASP,0.05,0.0,0.0
2025,01201190000NB,16.8,16.9,72.5,ASP,0.05,0.0,0.0
2025,01201190000NB,16.9,17.0,73.7,ASP,0.05,0.0,0.0
2025,01201190000NB,17.0,17.1,65.8,ASP,0.05,0.0,0.0
2025,01201190000NB,17.1,17.2,63.4,ASP,0.04,0.0,0.0
2025,01201190000NB,17.2,17.3,79.7,ASP,0.04,0.0,0.0
2025,01201190000NB,17.3,17.4,60.8,ASP,0.04,0.0,0.0
2025,01201190000NB,17.4,17.5,104.5,ASP,0.05,0.0,0.0
2025,01201190000NB,17.5,17.6,131.3,ASP,0.06,0.0,0.0
2025,01201190000NB,17.6,17.7,65.2,ASP,0.04,0.0,0.0
2025,01201190000NB,17.7,17.8,85.3,ASP,0.04,0.0,0.0
2025,01201190000NB,17.8,17.9,97.0,ASP,0.04,0.0,0.0
2025,01201190000NB,17.9,18.0,76.4,ASP,0.05,0.0,0.0
2025,01201190000NB,18.0,18.1,65.4,ASP,0.05,0.0,0.0
2025,01201190000NB,18.1,18.2,67.7,ASP,0.05,0.0,0.0
2025,01201190000NB,18.2,18.3,68.5,ASP,0.05,0.0,0.0
2025,01201190000NB,18.3,18.4,63.5,ASP,0.05,0.0,0.0
2025,01201190000NB,18.4,18.5,66.2,ASP,0.06,0.0,0.0
2025,01201190000NB,18.5,18.6,52.1,ASP,0.05,0.0,0.0
