RouteID,BMP,EMP,base_type_4_ValueNumeric,base_type_5_ValueNumeric,base_type_6_ValueNumeric
55200520000EB,4.9,5,3,3.000,3.0
55200520000EB,5,5.1,3,3.000,3.0
55200520000EB,5.1,5.2,3,3.000,3.0
55200520000EB,5.2,5.3,3,3.000,3.0
55200520000EB,5.3,5.4,3,3.000,3.0
55200520000EB,5.4,5.5,3,3.000,3.0
55200520000EB,5.5,5.6,3,3.000,3.0
55200520000EB,5.6,5.7,3,3.000,3.0
55200520000EB,5.7,5.8,3,3.000,3.0
55200520000EB,5.8,5.9,3,3.000,3.0
55200520000EB,5.9,6,3,3.000,3.0
55200520000EB,6,6.1,3,3.000,3.0
55200520000EB,6.1,6.2,3,3.000,3.0
55200520000EB,6.2,6.3,3,3.000,3.0
55200520000EB,6.3,6.4,3,3.000,3.0
55200520000EB,6.4,6.5,3,3.000,3.0
55200520000EB,6.5,6.6,3,3.000,3.0
55200520000EB,6.6,6.7,3,3.000,3.0
55200520000EB,6.7,6.8,3,3.000,3.0
55200520000EB,6.8,6.9,3,3.000,3.0
55200520000EB,6.9,7,3,3.000,3.0
55200520000EB,7,7.1,3,3.000,3.0
55200520000EB,7.1,7.2,3,3.000,3.0
55200520000EB,7.2,7.3,3,3.000,3.0
55200520000EB,7.3,7.4,3,3.000,3.0
55200520000EB,7.4,7.5,3,3.000,3.0
55200520000EB,7.5,7.6,3,3.000,3.0
55200520000EB,7.6,7.65,3,3.000,3.0
55200520000EB,7.65,7.7,3,3.000,3.0
55200520000EB,7.7,7.8,3,3.000,3.0
55200520000EB,7.8,7.9,3,3.000,3.0
55200520000EB,7.9,8,3,3.000,3.0
55200520000EB,8,8.1,3,3.000,3.0
55200520000EB,8.1,8.2,3,3.000,3.0
55200520000EB,8.2,8.3,3,3.000,3.0
55200520000EB,8.3,8.34,3,3.000,3.0
25100790000NB,130.53,132.8,2,2.000,2.0
25100790000NB,132.8,133,2,2.000,2.0
25100790000NB,133,133.37,2,2.000,2.0
25100790000NB,133.37,134.97,6,6.000,6.0
25100790000NB,136.64,139.1,2,2.000,2.0
25100790000NB,139.1,139.82,2,2.000,2.0
25100790000NB,139.82,140.352,2,2.000,2.0
2530310000000,7.16,7.808,2,2.000,2.0
2530310000000,8.35,8.45,2,2.000,2.0
0330003000000,8.17,11.14,2,2.000,2.0
1740023090000,6.77,7.36,2,2.000,2.0
21200330000EB,16,16.1,3,3.000,3.0
21200330000EB,16.1,16.2,3,3.000,3.0
21200330000EB,16.2,16.23,3,3.000,3.0
21200330000EB,17.59,17.6,3,3.000,3.0
21200330000EB,17.6,17.7,3,3.000,3.0
21200330000EB,17.7,17.8,3,3.000,3.0
21200330000EB,17.8,17.9,3,3.000,3.0
21200330000EB,17.9,17.96,3,3.000,3.0
21200330000EB,17.96,17.967,,3.000,3.0
21200330000EB,19.84,19.9,3,3.000,3.0
21200330000EB,19.9,20,3,3.000,3.0
21200330000EB,20,20.1,3,3.000,3.0
21200330000EB,20.1,20.19,3,3.000,3.0
21200330000EB,20.19,20.2,3,3.000,3.0
21200330000EB,20.2,20.3,3,3.000,3.0
21200330000EB,20.3,20.4,3,3.000,3.0
21200330000EB,20.4,20.5,3,3.000,3.0
21200330000EB,20.5,20.6,3,3.000,3.0
21200330000EB,20.6,20.7,3,3.000,3.0
21200330000EB,20.7,20.8,3,3.000,3.0
21200330000EB,20.8,20.9,3,3.000,3.0
21200330000EB,20.9,21,3,3.000,3.0
21200330000EB,21,21.03,3,3.000,3.0
21200330000EB,21.25,21.3,3,3.000,3.0
21200330000EB,21.3,21.4,3,3.000,3.0
21200330000EB,21.4,21.5,3,3.000,3.0
21200330000EB,21.5,21.6,3,3.000,3.0
21200330000EB,21.6,21.7,3,3.000,3.0
21200330000EB,21.7,21.8,3,3.000,3.0
21200330000EB,21.8,21.9,3,3.000,3.0
21200330000EB,21.9,22,3,3.000,3.0
21200330000EB,22,22.1,3,3.000,3.0
21200330000EB,22.1,22.2,3,3.000,3.0
21200330000EB,22.2,22.25,3,3.000,3.0
21200330000EB,22.25,22.3,3,3.000,3.0
21200330000EB,22.3,22.4,3,3.000,3.0
21200330000EB,22.4,22.5,3,3.000,3.0
