RouteID,BMP,EMP,Sample_ID,LRS_SURFACE_TYPE
2940014000000,4.19,4.6,290140000419,6.0
4140004030000,0.0,0.47,410040300000,2.1
2930972000000,0.0,1.48,299720000000,6.0
2930972000000,1.48,2.19,299720000148,6.0
3578261001900,0.0,0.39,350826100000,2.1
0140010000000,7.41,8.63,010100000741,2.1
0240019000000,1.55,3.438,020190000155,6.0
0240019000000,3.438,4.04,020190003438,6.0
0240019000000,4.04,4.06,020190004040,6.0
1771759001900,0.0,0.19,170175900000,2.1
10200190000NB,0.0,1.02,100190000000,2.1
10200190000NB,2.85,3.82,100190000285,2.1
10200190000NB,3.89,6.16,100190000389,2.1
0240011240000,0.0,0.85,020112400000,6.0
2530310000000,7.16,7.808,253100007160,2.1
2530310000000,8.35,8.45,253100000835,2.1
2530310000000,9.67,10.1,253100000967,2.1
2530310000000,10.1,10.22,253100010100,3.0
4530020000000,24.37,24.94,450200002437,2.1
4530020000000,24.94,25.32,450200002494,2.1
4530020000000,25.32,32.14,450200002532,2.1
5040060040000,1.24,2.4,500600400124,2.1
20100790000NB,0.0,0.81,200790000000,2.1
20100790000NB,0.81,1.95,200790000081,2.1
20100790000NB,4.51,5.42,200790000451,2.1
20100790000NB,5.42,5.56,200790000542,2.1
20100790000NB,5.56,6.12,200790000556,2.1
20100790000NB,6.82,7.19,200790000682,2.1
20100790000NB,9.97,10.64,200790000997,2.1
20100790000NB,10.64,16.04,200790001064,2.1
20100790000NB,16.04,19.22,200790001604,2.1
20100790000NB,19.22,20.62,200790001922,2.1
20100790000NB,20.62,21.28,200790002062,2.1
4040031000000,0.0,0.3,400310000000,2.1
2640034000000,1.15,1.61,260340000115,2.1
2640034000000,4.38,4.408,260340004380,2.1
2640034000000,4.441,4.46,260340004441,2.1
2640034000000,4.585,4.632,260340004585,2.1
2640034000000,4.655,4.671,260340004655,2.1
2640034000000,4.689,4.693,260340004689,2.1
2640034000000,4.703,4.704,260340004703,2.1
2640034000000,4.793,4.83,260340004793,2.1
2640034000000,5.214,5.23,260340005180,2.1
0240034030000,0.0,1.01,020340300000,6.0
0240032000000,1.68,2.15,020320001680,6.0
0240032000000,2.16,2.57,020320002160,6.0
1730131000000,4.33,5.47,171310000433,2.1
1340045010000,0.0,0.539,130450100000,2.1
2071062001900,0.0,1.38,200106200000,2.1
2071013001900,0.0,1.48,200101300000,2.1
2870513001900,0.0,0.37,280051300000,2.1
4130003000000,35.98,36.18,410030035980,2.1
4130003000000,36.23,36.49,410030036230,2.1
4130003000000,37.1,37.73,410030003710,2.1
3140049000000,0.66,1.25,310490000066,2.1
0530002000000,3.33,3.88,050020003330,2.1
0530002000000,3.88,6.35,050020000388,2.1
0530002000000,7.06,7.47,050020000706,2.1
0530002000000,7.59,8.67,050020000759,2.1
0530002000000,12.63,13.08,050020001263,2.1
0530002000000,14.5,14.83,050002000145,2.1
0530002000000,14.83,15.05,050020001483,2.1
0530002000000,15.05,15.08,050020001505,2.1
0530002000000,15.08,15.29,050020001508,2.1
0530002000000,15.29,15.4,050020001508,3.0
5275509001900,0.07,0.23,520550900070,2.1
4140016390000,0.0,0.64,410163900000,2.1
20100640006EB,0.0,0.3,200064E00000,2.1
2040043000000,0.427,1.27,200430000427,2.1
1040021200000,0.0,0.98,100212000000,2.1
1740050400000,0.0,0.67,170504000000,2.1
