,RouteID,BeginPoint,EndPoint,ValueNumeric,Comments,ValueDate,StateCode,BeginDate,ValueText,DataItem
295,19203400000NB,12.88,13.26,6,same as 2020,,54,01/01/2022,,BASE_TYPE
296,19203400000NB,13.26,13.82,6,same as 2020,,54,01/01/2022,,BASE_TYPE
297,19203400000NB,14.66,14.7,2,same as 2020,,54,01/01/2022,,BASE_TYPE
298,19203400000NB,14.7,14.86,2,same as 2020,,54,01/01/2022,,BASE_TYPE
299,19203400000NB,14.86,14.9,2,same as 2020,,54,01/01/2022,,BASE_TYPE
300,19203400000NB,14.9,15.31,2,same as 2020,,54,01/01/2022,,BASE_TYPE
301,19203400005SB,0.17,0.37,2,same as 2020,,54,01/01/2022,,BASE_TYPE
302,19203400005SB,0.371,0.6,2,same as 2020,,54,01/01/2022,,BASE_TYPE
303,19203400005SB,0.0,0.1,2,same as 2020,,54,01/01/2022,,BASE_TYPE
304,19203400005SB,0.1,0.17,2,same as 2020,,54,01/01/2022,,BASE_TYPE
305,1930009000000,0.0,1.45,7,New 2021,,54,01/01/2022,,BASE_TYPE
306,1930009000000,1.45,3.94,7,same as 2020,,54,01/01/2022,,BASE_TYPE
307,1930009000000,4.97,6.35,7,same as 2020,,54,01/01/2022,,BASE_TYPE
308,1930009000000,10.91,11.418,7,same as 2020,,54,01/01/2022,,BASE_TYPE
309,1930009000000,14.435,14.96,7,same as 2020,,54,01/01/2022,,BASE_TYPE
310,1930051000000,8.66,8.78,2,same as 2020,,54,01/01/2022,,BASE_TYPE
311,29202200000NB,12.61,13.26,5,same as 2020,,54,01/01/2022,,BASE_TYPE
312,2930093000000,0.0,3.42,5,same as 2020,,54,01/01/2022,,BASE_TYPE
313,3630028000000,24.07,25.57,5,,,54,01/01/2022,,BASE_TYPE
314,42202500000NB,9.71,12.45,5,,,54,01/01/2022,,BASE_TYPE
