RouteID,BMP,EMP,year_last_constructed_16_ValueDate,year_last_constructed_17_ValueDate,year_last_constructed_18_ValueDate
32202190000NB,3.3,3.4,2014,1921,1921
32202190000NB,3.4,3.5,2014,1921,1921
32202190000NB,3.5,3.6,2014,1921,1921
32202190000NB,3.6,3.7,2014,1921,1921
32202190000NB,3.7,3.8,2014,1921,1921
32202190000NB,3.8,3.9,2014,1921,1921
32202190000NB,3.9,4,2014,1921,1921
32202190000NB,4,4.1,2014,1921,1921
32202190000NB,4.1,4.2,2014,1921,1921
32202190000NB,4.2,4.3,2014,1921,1921
32202190000NB,4.3,4.4,2014,1921,1921
32202190000NB,4.4,4.5,2014,1921,1921
32202190000NB,4.5,4.6,2014,1921,1921
32202190000NB,4.6,4.7,2014,1921,1921
32202190000NB,4.7,4.8,2014,1921,1921
32202190000NB,4.8,4.9,2014,1921,1921
32202190000NB,4.9,5,2014,1921,1921
32202190000NB,5,5.1,2014,1921,1921
32202190000NB,5.1,5.2,2014,1921,1921
32202190000NB,5.2,5.3,2014,1921,1921
32202190000NB,5.3,5.4,2014,1921,1921
32202190000NB,5.4,5.5,2014,1921,1921
32202190000NB,5.5,5.6,2014,1921,1921
32202190000NB,5.6,5.7,2014,1921,1921
32202190000NB,5.7,5.8,2014,1921,1921
32202190000NB,5.8,5.9,2014,1921,1921
32202190000NB,5.9,6,2014,1921,1921
32202190000NB,6,6.1,2014,1921,1921
32202190000NB,6.1,6.2,2014,1921,1921
32202190000NB,6.2,6.3,2014,1921,1921
32202190000NB,6.3,6.4,2014,1921,1921
32202190000NB,6.4,6.5,2014,1921,1921
32202190000NB,6.5,6.6,2014,1921,1921
32202190000NB,6.6,6.7,2014,1921,1921
32202190000NB,6.7,6.8,2014,1921,1921
32202190000NB,6.8,6.9,2014,1921,1921
32202190000NB,6.9,7,2014,1921,1921
32202190000NB,7,7.1,2014,1921,1921
32202190000NB,7.1,7.2,2014,1921,1921
32202190000NB,7.2,7.3,2014,1921,1921
32202190000NB,7.3,7.4,2014,1921,1921
32202190000NB,7.4,7.5,2014,1921,1921
32202190000NB,7.5,7.6,2014,1921,1921
32202190000NB,7.6,7.7,2014,1921,1921
32202190000NB,7.7,7.8,2014,1921,1921
32202190000NB,7.8,7.87,2014,1921,1921
32202190000NB,14.38,14.4,,1921,1921
32202190000NB,14.4,14.5,,1921,1921
32202190000NB,14.5,14.6,,1921,1921
32202190000NB,14.6,14.7,,1921,1921
32202190000NB,14.7,14.8,,1921,1921
32202190000NB,14.8,14.9,,1921,1921
32202190000NB,14.9,15,,1921,1921
32202190000NB,15,15.1,,1921,1921
32202190000NB,15.1,15.2,,1921,1921
32202190000NB,15.2,15.3,,1921,1921
32202190000NB,15.3,15.4,,1921,1921
32202190000NB,15.4,15.5,,1921,1921
32202190000NB,15.5,15.6,,1921,1921
32202190000NB,15.6,15.7,,1921,1921
32202190000NB,15.7,15.8,,1921,1921
32202190000NB,15.8,15.9,,1921,1921
32202190000NB,15.9,16,,1921,1921
32202190000NB,16,16.1,,1921,1921
