RouteID|BMP|EMP|ValueDate|Comments|StateID|BeginDate|ValueNumeric|ValueText|DataItem
17200500000EB|2.4|2.5|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|2.5|2.6|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|2.6|2.7|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|2.7|2.8|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|2.8|2.9|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|2.9|3.0|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|3.0|3.1|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|3.1|3.2|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|3.2|3.3|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|3.3|3.37|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|3.42|3.5|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|3.5|3.6|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|3.6|3.7|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|3.7|3.8|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|6.11|6.2|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|6.2|6.3|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|6.3|6.4|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|6.4|6.5|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|6.5|6.6|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|6.6|6.7|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|6.7|6.8|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|6.8|6.9|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|6.9|7.0|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|7.0|7.1|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|7.1|7.16|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|11.38|11.4|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|11.4|11.5|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|11.5|11.6|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|11.6|11.7|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|11.7|11.8|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|11.8|11.9|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|11.9|12.0|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|12.0|12.1|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|12.1|12.2|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|12.2|12.29|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|12.29|12.3|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|12.3|12.4|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|12.4|12.5|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|12.5|12.6|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|12.6|12.7|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|12.7|12.8|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|12.8|12.88|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|13.25|13.3|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|13.3|13.4|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|13.4|13.5|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|13.5|13.56|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|13.56|13.6|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|13.6|13.7|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|13.7|13.78|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
