RouteID|BMP|EMP|ValueNumeric|Comments|StateID|BeginDate|ValueDate|ValueText|DataItem
21100790000NB|105.1|105.2|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|105.2|105.3|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|105.3|105.4|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|105.4|105.5|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|105.5|105.6|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|105.6|105.7|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|105.7|105.8|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|105.8|105.9|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|105.9|106.0|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|106.0|106.1|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|106.1|106.2|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|106.2|106.3|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
21100790000NB|106.3|106.4|2.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
2530310000000|7.16|7.808|1.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
2530310000000|8.35|8.45|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
2540019310000|0.4|0.89|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
2540072000000|1.02|1.79|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
2540072000000|2.07|2.67|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
2540073730000|2.11|2.33|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
2540073730000|2.62|2.673|1.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
2540073730000|2.673|3.34|1.0||54|01/01/2025|||LAST_OVERLAY_THICKNESS
25100790000NB|129.22|129.52|1.5||54|01/01/2025|||LAST_OVERLAY_THICKNESS
