RouteID|BMP|EMP|ValueNumeric|Comments|StateID|BeginDate|ValueDate|ValueText|DataItem
25100790000NB|139.82|140.352|9.0||54|01/01/2025|||THICKNESS_RIGID
25200190000NB|13.93|13.96|7.0||54|01/01/2025|||THICKNESS_RIGID
25202500000NB|3.785|4.16|6.0||54|01/01/2025|||THICKNESS_RIGID
3130043000000|2.583|2.65|8.5||54|01/01/2025|||THICKNESS_RIGID
3130705000000|0.68|0.7|9.0||54|01/01/2025|||THICKNESS_RIGID
3130705000000|0.7|1.23|9.0||54|01/01/2025|||THICKNESS_RIGID
3130705000000|1.23|1.63|9.0||54|01/01/2025|||THICKNESS_RIGID
3130705000000|1.63|1.64|9.0||54|01/01/2025|||THICKNESS_RIGID
3130705000000|1.64|1.81|9.0||54|01/01/2025|||THICKNESS_RIGID
3130705000000|1.81|2.68|9.0||54|01/01/2025|||THICKNESS_RIGID
3140019190000|0.47|1.29|8.0||54|01/01/2025|||THICKNESS_RIGID
3140019190000|1.29|1.7|8.0||54|01/01/2025|||THICKNESS_RIGID
3140019240000|2.77|3.0|9.0||54|01/01/2025|||THICKNESS_RIGID
3140019240000|3.0|3.08|9.0||54|01/01/2025|||THICKNESS_RIGID
3140857000000|0.5|0.6|8.0||54|01/01/2025|||THICKNESS_RIGID
3140857000000|0.6|0.7|8.0||54|01/01/2025|||THICKNESS_RIGID
3140857000000|0.7|0.8|8.0||54|01/01/2025|||THICKNESS_RIGID
3140857000000|0.8|0.9|8.0||54|01/01/2025|||THICKNESS_RIGID
3140857000000|0.9|1.0|8.0||54|01/01/2025|||THICKNESS_RIGID
3140857000000|1.0|1.1|8.0||54|01/01/2025|||THICKNESS_RIGID
3140857000000|1.1|1.2|8.0||54|01/01/2025|||THICKNESS_RIGID
3140857000000|1.2|1.3|8.0||54|01/01/2025|||THICKNESS_RIGID
3140857000000|1.3|1.4|8.0||54|01/01/2025|||THICKNESS_RIGID
3140857000000|1.4|1.41|8.0||54|01/01/2025|||THICKNESS_RIGID
31100680000EB|4.13|4.56|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680000EB|4.56|4.96|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680000EB|4.96|5.79|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680000EB|5.79|6.18|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680000EB|6.18|6.77|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680000EB|6.77|7.2|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680000EB|7.2|7.54|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680000EB|7.54|8.89|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680000EB|8.89|9.4|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680000EB|10.08|10.28|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680000EB|10.28|10.32|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680000EB|10.32|10.79|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680004NB|0.0|0.84|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680005SB|0.0|0.604|9.0||54|01/01/2025|||THICKNESS_RIGID
31100680005SB|0.65|1.14|9.0||54|01/01/2025|||THICKNESS_RIGID
31100790000NB|142.37|142.4|8.0||54|01/01/2025|||THICKNESS_RIGID
31100790000NB|142.4|143.81|9.0||54|01/01/2025|||THICKNESS_RIGID
31100790000NB|143.81|144.95|9.0||54|01/01/2025|||THICKNESS_RIGID
31100790000NB|144.95|145.2|9.0||54|01/01/2025|||THICKNESS_RIGID
31100790000NB|145.2|145.65|9.0||54|01/01/2025|||THICKNESS_RIGID
31100790000NB|149.38|149.68|8.0||54|01/01/2025|||THICKNESS_RIGID
31100790000NB|150.74|151.07|9.0||54|01/01/2025|||THICKNESS_RIGID
31100790000NB|151.07|151.1|9.0||54|01/01/2025|||THICKNESS_RIGID
31100790000NB|152.32|152.5|9.0||54|01/01/2025|||THICKNESS_RIGID
31100790000NB|152.5|152.501|9.0||54|01/01/2025|||THICKNESS_RIGID
31100790000NB|152.501|152.53|9.0||54|01/01/2025|||THICKNESS_RIGID
31100790000NB|152.53|152.62|9.0||54|01/01/2025|||THICKNESS_RIGID
31100790000NB|152.62|152.92|9.0||54|01/01/2025|||THICKNESS_RIGID
31200190000NB|8.99|9.16|9.0||54|01/01/2025|||THICKNESS_RIGID
31200190000NB|14.25|14.3|8.5||54|01/01/2025|||THICKNESS_RIGID
31200190000NB|14.3|14.35|8.5||54|01/01/2025|||THICKNESS_RIGID
31201190000NB|9.82|10.005|9.0||54|01/01/2025|||THICKNESS_RIGID
31201190000NB|10.005|10.15|9.0||54|01/01/2025|||THICKNESS_RIGID
31201190000NB|10.15|10.66|9.0||54|01/01/2025|||THICKNESS_RIGID
31201190000NB|11.9|12.06|9.0||54|01/01/2025|||THICKNESS_RIGID
31201190000NB|13.78|13.8|10.0||54|01/01/2025|||THICKNESS_RIGID
31201190000NB|14.42|14.62|7.0||54|01/01/2025|||THICKNESS_RIGID
31201190000NB|14.85|15.15|7.0||54|01/01/2025|||THICKNESS_RIGID
31201190000NB|18.2|19.66|8.0||54|01/01/2025|||THICKNESS_RIGID
31201190000NB|19.66|20.0|8.0||54|01/01/2025|||THICKNESS_RIGID
39100680000EB|18.12|18.2|9.0||54|01/01/2025|||THICKNESS_RIGID
39100680000EB|18.2|23.34|9.0||54|01/01/2025|||THICKNESS_RIGID
39100680000EB|26.75|28.64|9.0||54|01/01/2025|||THICKNESS_RIGID
39100680000EB|28.64|29.23|9.0||54|01/01/2025|||THICKNESS_RIGID
39100680000EB|31.24|31.42|9.0||54|01/01/2025|||THICKNESS_RIGID
39100680000EB|31.42|32.06|9.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|137.48|137.5|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|137.5|137.6|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|137.6|137.7|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|137.7|137.8|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|137.8|137.9|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|137.9|138.0|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|138.0|138.01|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|132.84|132.9|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|132.9|133.0|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|133.0|133.1|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|133.1|133.2|11.0||54|01/01/2025|||THICKNESS_RIGID
41100640000EB|133.2|133.3|11.0||54|01/01/2025|||THICKNESS_RIGID
