,RouteId,BeginPoint,EndPoint,BaseTypeVn,SampleId,SurfaceTypeVn
1987,2730002000000,20.1,20.1772,,270020002007,6
1988,2730002000000,20.2,20.239,,270020002007,6
1989,2730002000000,22.0676,22.1,,270020002129,6
1990,2730002000000,24.16,24.2,,270020002416,6
1991,2730002000000,20.8,20.867,,270020002072,3
1992,2730002000000,20.3451,20.36,,270020002007,6
1993,2730002000000,20.07,20.1,,270020002007,6
1994,2730002000000,20.1772,20.2,,270020002007,6
1995,2730002000000,20.3,20.3131,,270020002007,6
1996,2730002000000,21.6,21.6301,,270020002129,6
1997,2730002000000,20.57,20.6,,270020002057,3
1998,2730002000000,20.7,20.72,,270020002057,3
1999,2730002000000,21.4697,21.5,,270020002129,6
2000,2730002000000,20.3341,20.3451,,270020002007,6
2001,2730002000000,20.3131,20.3273,,270020002007,6
2002,2730002000000,20.867,20.88,,270020002072,3
2003,2730002000000,21.29,21.3,,270020002129,6
2004,2730002000000,20.3273,20.3341,,270020002007,6
2005,2730002000000,21.2815,21.29,,270020002100,6
2006,2730002000000,24.2,24.2059,,270020002416,6
2007,2730002000000,29.7,29.8,,270002002927,6
2008,2730002000000,29.52,29.6,,270002002927,6
2009,2730002000000,29.6,29.7,,270002002927,6
2010,2730002000000,29.8,29.9,,270002002927,6
2011,2730002000000,29.9,30.0,,270002002927,6
2012,2730002000000,30.01,30.1,,270002002927,6
2013,2730002000000,30.1,30.2,,270002002927,6
2014,2730002000000,24.6,24.7,,270020002416,6
2015,2730002000000,24.7,24.79,,270020002416,6
2016,2730002000000,29.5,29.52,,270002002927,6
2017,2730002000000,30.0,30.01,,270002002927,6
2018,2730002000000,30.7,30.8,,270002002927,6
2019,2730002000000,31.0,31.1,,270002002927,6
2020,2730002000000,32.0,32.1,,270002002927,6
2021,2730002000000,32.6,32.7,,270002002927,6
2022,2730002000000,34.1,34.2,,270002002927,6
2023,2730002000000,34.4,34.5,,270002002927,6
2024,2730002000000,35.4,35.5,,270002002927,6
2025,2730002000000,31.3,31.4,,270002002927,6
2026,2730002000000,31.6,31.7,,270002002927,6
2027,2730002000000,34.02,34.1,,270002002927,6
2028,2730002000000,34.31,34.4,,270002002927,6
2029,2730002000000,30.6,30.67,,270002002927,6
2030,2730002000000,30.9,30.9857,,270002002927,6
2031,2730002000000,31.4,31.5,,270002002927,6
2032,2730002000000,31.5,31.6,,270002002927,6
2033,2730002000000,31.73,31.8,,270002002927,6
2034,2730002000000,31.8,31.9,,270002002927,6
2035,2730002000000,31.9,32.0,,270002002927,6
2036,2730002000000,32.1,32.2,,270002002927,6
2037,2730002000000,32.2,32.29,,270002002927,6
2038,2730002000000,32.3,32.4,,270002002927,6
2039,2730002000000,32.4,32.5,,270002002927,6
2040,2730002000000,32.5,32.6,,270002002927,6
2041,2730002000000,32.7,32.8,,270002002927,6
2042,2730002000000,33.6,33.7,,270002002927,6
2043,2730002000000,33.8,33.9,,270002002927,6
2044,2730002000000,33.9,34.0,,270002002927,6
2045,2730002000000,34.5,34.6,,270002002927,6
2046,2730002000000,34.7,34.8,,270002002927,6
2047,2730002000000,35.13,35.2,,270002002927,6
2048,2730002000000,35.2,35.3,,270002002927,6
2049,2730002000000,35.3,35.4,,270002002927,6
2050,2730002000000,30.3,30.4,,270002002927,6
2051,2730002000000,30.4,30.5,,270002002927,6
2052,2730002000000,30.5,30.6,,270002002927,6
2053,2730002000000,31.1,31.2,,270002002927,6
2054,2730002000000,33.3,33.4,,270002002927,6
2055,2730002000000,33.4,33.5,,270002002927,6
2056,2730002000000,33.5,33.6,,270002002927,6
2057,2730002000000,34.2,34.3,,270002002927,6
2058,2730002000000,34.8,34.9,,270002002927,6
2059,2730002000000,34.9,34.97,,270002002927,6
2060,2730002000000,35.0,35.1,,270002002927,6
2061,2730002000000,30.836,30.9,,270002002927,6
2062,2730002000000,33.2,33.3,,270002002927,6
2063,2730002000000,35.5,35.6,,270002002927,6
2064,2730002000000,31.23,31.3,,270002002927,6
2065,2730002000000,30.23,30.3,,270002002927,6
2066,2730002000000,33.72,33.8,,270002002927,6
2067,2730002000000,34.65,34.7,,270002002927,6
2068,2730002000000,31.2,31.23,,270002002927,6
2069,2730002000000,34.62,34.65,,270002002927,6
2070,2730002000000,30.67,30.7,,270002002927,6
2071,2730002000000,31.7,31.73,,270002002927,6
2072,2730002000000,30.2,30.23,,270002002927,6
2073,2730002000000,33.7,33.72,,270002002927,6
2074,2730002000000,34.0,34.02,,270002002927,6
2075,2730002000000,34.6,34.62,,270002002927,6
2076,2730002000000,34.97,35.0,,270002002927,6
2077,2730002000000,35.1,35.1198,,270002002927,6
2078,2730002000000,30.8,30.832,,270002002927,6
