,RouteId,BeginPoint,EndPoint,NhsVn,FacilityTypeVn,FsystemVn
358,20100770017SB0098C,0.1562,0.1633,,4,1
359,20100770017NB0098B,0.0193,0.0254,,4,1
360,20100770017SB0100D,0.0,0.0075,,4,1
361,20100770017SB0100D,0.0075,0.013,,4,1
362,20100770017SB0098C,0.1633,0.168,,4,1
363,20100770017SB0098C,0.168,0.176,,4,1
364,20100770017NB0098B,0.0966,0.103,,4,1
365,20100640017WB058BH,0.0325,0.0375,,4,1
366,20100770017NB0100A,0.4941,0.4975,,4,1
367,20100770017NB0100A,0.54,0.5423,,4,1
368,20100770017NB0098B,0.0254,0.029,,4,1
369,20100770017NB0098B,0.029,0.0314,,4,1
370,20100770017NB0100B,0.5341,0.5356,,4,1
371,20100640017WB058CD,0.176,0.1774,,4,1
372,20100770017NB0106A,0.0,0.357,,4,1
373,20100770017SB0106D,0.0,0.451,,4,1
374,20100770017SB0111C,0.0,0.241,,4,1
375,20100770017SB0106C,0.0,0.285,,4,1
376,20100770017NB0111A,0.0,0.292,,4,1
377,20100770017NB0111B,0.0,0.2067,,4,1
378,20100770017NB0106B,0.047,0.381,,4,1
379,20100770017SB0111D,0.0,0.1561,,4,1
380,20100770017SB0111D,0.1561,0.311,,4,1
381,20100770017NB0111B,0.2067,0.341,,4,1
382,20100770017NB0106B,0.0,0.041,,4,1
383,20100770017SB0106C,0.285,0.334,,4,1
384,20100770017SB0106C,0.34,0.349,,4,1
385,20100770017SB0106C,0.349,0.355,,4,1
386,20100770017NB0106B,0.041,0.047,,4,1
387,20100770017SB0106C,0.334,0.34,,4,1
388,20100770017SB0116C,0.0,0.335,,4,1
389,20100770017NB0116A,0.0,0.249,,4,1
390,20100770017NB0114B,0.0,0.331,,4,1
391,20100770017NB0116B,0.0,0.188,,4,1
392,20100770017SB0114C,0.0,0.253,,4,1
393,20100770017SB0114D,0.0,0.342,,4,1
394,20100770017NB0114A,0.121,0.343,,4,1
395,20100770017SB0116D,0.025,0.315,,4,1
396,20100770017NB0114A,0.0,0.121,,4,1
