,RouteId,BeginPoint,EndPoint,YearLastImprovementVd,SampleId,SurfaceTypeVn,YearLastConstructionVd
10613,3130007000000,26.01,26.012,,310070002601,6.0,1/1/1982 12:00:00 AM
10614,31100790000NB,153.84,153.844,,310790015292,6.0,
10615,31100790000NB,158.2268,158.2292,,310790015700,6.0,1/1/2019 12:00:00 AM
10616,31100790000NB,159.9896,159.9917,,310790015700,6.0,1/1/2019 12:00:00 AM
10617,3140007210000,0.0,0.4269,,310072100000,,1/1/1905 12:00:00 AM
10618,3140070000000,0.4508,1.4029,,310700000387,,1/1/1990 12:00:00 AM
10619,3130007000000,37.6094,38.29,,310070003655,,1/1/1982 12:00:00 AM
10620,3140068070000,0.75,1.11,,310680700075,,1/1/1990 12:00:00 AM
10621,3130007000000,34.94,35.35,,310070003471,,1/1/1982 12:00:00 AM
10622,3140064000000,0.0,0.2785,,310640000000,,1/1/1977 12:00:00 AM
