,RouteId,BeginPoint,EndPoint,LaneWidthVn,SampleId
5010,18100770000NB,137.3,137.4,,180770013244
5011,18100770000NB,137.5,137.6,,180770013244
5012,18100770000NB,137.9,138.0,,180770013774
5013,18100770000NB,138.0,138.1,,180770013774
5014,18100770000NB,138.6,138.7,,180770013774
5015,18100770000NB,138.7,138.8,,180770013774
5016,18100770000NB,138.83,138.9,,180770013883
5017,18100770000NB,138.9,139.0,,180770013883
5018,18100770000NB,139.0,139.1,,180770013883
5019,18100770000NB,139.1,139.2,,180770013883
5020,18100770000NB,139.2,139.3,,180770013883
5021,18100770000NB,139.3,139.4,,180770013883
5022,18100770000NB,139.4,139.5,,180770013883
5023,18100770000NB,139.5,139.6,,180770013883
5024,18100770000NB,139.6,139.7,,180770013883
5025,18100770000NB,139.7,139.8,,180770013883
5026,18100770000NB,133.4,133.5,,180770013244
5027,18100770000NB,133.5,133.6,,180770013244
5028,18100770000NB,133.6,133.7,,180770013244
5029,18100770000NB,135.8,135.9,,180770013244
5030,18100770000NB,135.9,136.0,,180770013244
5031,18100770000NB,136.0,136.1,,180770013244
5032,18100770000NB,138.2,138.3,,180770013774
5033,18100770000NB,138.4,138.5,,180770013774
5034,18100770000NB,138.5,138.6,,180770013774
5035,18200330000EB,11.33,11.3862,,180330001109
5036,18200330000EB,11.4073,11.47,,180330001109
5037,18100770000NB,132.4,132.44,,180770012833
5038,18100770000NB,132.7,132.7719,,180770013244
5039,18100770000NB,132.44,132.5,,180770013244
5040,18100770000NB,132.7719,132.8,,180770013244
5041,18100770000NB,133.9,134.0,,180770013244
5042,18100770000NB,134.5,134.54,,180770013244
5043,18100770000NB,134.54,134.6,,180770013244
5044,18100770000NB,135.1,135.2,,180770013244
5045,18100770000NB,135.2247,135.3,,180770013244
5046,18100770000NB,137.4,137.4431,,180770013244
5047,18100770000NB,137.4431,137.5,,180770013244
5048,18100770000NB,137.74,137.8,,180770013774
5049,18100770000NB,138.1,138.19,,180770013774
5050,18100770000NB,138.33,138.4,,180770013774
5051,18100770000NB,137.715,137.74,,180770013244
5052,18200330000EB,11.23,11.3,,180330001109
5053,18200330000EB,11.3,11.3277,,180330001109
5054,18100770000NB,137.839,137.9,,180770013774
5055,18100770000NB,138.3014,138.33,,180770013774
5056,18200330000EB,11.2,11.2129,,180330001109
5057,18200330000EB,11.218,11.23,,180330001109
5058,18100770000NB,135.2,135.2247,,180770013244
5059,18100770000NB,137.6,137.6197,,180770013244
5060,18100770000NB,137.673,137.7,,180770013244
5061,18100770000NB,138.8,138.83,,180770013774
5062,18100770000NB,137.6197,137.665,,180770013244
5063,1840021000000,20.23,20.2388,,180210001964
5064,18200330000EB,11.47,11.48,,180330001109
5065,18100770000NB,132.6919,132.7,,180770013244
5066,18200330000EB,11.09,11.1,,180330001109
5067,18200330000EB,11.3862,11.4,,180330001109
5068,18100770000NB,137.7,137.715,,180770013244
5069,18100770000NB,137.8,137.815,,180770013774
5070,18100770000NB,137.8231,137.839,,180770013774
5071,18200330000EB,11.2129,11.218,,180330001109
5072,18200330000EB,11.4,11.4073,,180330001109
5073,18100770000NB,138.19,138.2,,180770013774
5074,18100770000NB,137.665,137.673,,180770013244
5075,18100770000NB,137.815,137.8211,,180770013774
5076,18200330000EB,11.3277,11.33,,180330001109
5077,1840021000000,20.9565,20.96,,180210001964
5078,18100770000NB,137.8211,137.8231,,180770013774
5079,18100770000NB,138.3,138.3014,,180770013774
5080,18200330000EB,21.7,21.8,,180330002143
5081,18200330000EB,22.0,22.1,,180330002143
5082,18200330000EB,22.3,22.4,,180330002143
5083,18200330000EB,21.43,21.5,,180330002143
5084,18200330000EB,21.6,21.7,,180330002143
5085,18200330000EB,21.8,21.9,,180330002143
5086,18200330000EB,21.9,22.0,,180330002143
5087,18200330000EB,22.2,22.3,,180330002143
5088,18200330000EB,21.5,21.54,,180330002143
5089,18200330000EB,21.54,21.6,,180330002143
