,RouteId,BeginPoint,EndPoint,FaultingVn,SurfaceTypeVn,FacilityTypeVn,FsystemVn,NhsVn,SampleId,DirThroughLanesVn,PsrVn,IriVn
1003,31201190000NB,10.2635,10.2668,,3,2,3,1.0,,,,169
1004,31200190000NB,11.1926,11.1952,,3,2,3,1.0,,,,110
1005,31100680000EB,4.396,4.4,,3,2,1,1.0,310680000413,2.0,,140
1006,31100680000EB,9.6,9.7,,3,2,1,1.0,,2.0,,191
1007,31100680000EB,9.7,9.78,,3,2,1,1.0,,2.0,,206
1008,31100680000EB,9.5,9.6,,3,2,1,1.0,,2.0,,209
1009,3130043000000,3.8,3.898,,3,2,2,1.0,310043003582,,,74
1010,3130043000000,3.9,4.0,,3,2,2,1.0,310043003582,,,63
1011,3130043000000,3.7,3.756,,3,2,2,1.0,310043003582,,,172
1012,3130043000000,2.763,2.8,,3,2,2,1.0,310430000265,,,100
1013,3130043000000,2.65,2.7,,3,2,2,1.0,310430000265,,,92
1014,3130043000000,2.7,2.763,,3,2,2,1.0,310430000265,,,100
1015,3130043000000,3.756,3.8,,3,2,2,1.0,310043003582,,,172
1016,3130043000000,2.6296,2.65,,3,2,2,1.0,310430000000,,,92
1017,31100680000EB,9.78,9.8,,3,2,1,1.0,,2.0,,206
1018,3130043000000,0.412,0.4445,,3,2,2,1.0,310430000000,,,255
1019,3130043000000,0.4445,0.468,,3,2,2,1.0,310430000000,,,255
1020,3130043000000,0.468,0.5,,3,2,2,1.0,310430000000,,,255
1021,3130043000000,2.6143,2.6296,,3,2,2,1.0,310430000000,,,92
1022,3130043000000,2.6,2.6143,,3,2,2,1.0,310430000000,,,92
1023,3130043000000,0.4,0.412,,3,2,2,1.0,310430000000,,,255
1024,3130043000000,3.898,3.9,,3,2,2,1.0,310043003582,,,74
1025,39100680000EB,18.12,18.172,,3,2,1,1.0,390680001812,2.0,,181
1026,39100680000EB,18.172,18.2,,3,2,1,1.0,390680001812,2.0,,181
1027,39100680000EB,18.1,18.12,,3,2,1,1.0,390680001466,2.0,,181
1028,29202200000NB,14.92,15.0,,3,2,3,1.0,,,,96
1029,29202200000NB,15.0175,15.0406,,3,2,3,1.0,,,,99
1030,29202200000NB,15.0406,15.0637,,3,2,3,1.0,,,,99
1031,29202200000NB,15.0637,15.0801,,3,2,3,1.0,,,,99
1032,29202200000NB,15.0056,15.0175,,3,2,3,1.0,,,,99
1033,29202200000NB,15.0801,15.098,,3,2,3,1.0,,,,99
1034,29202200000NB,15.1,15.11,,3,2,3,1.0,,,,84
1035,29202200000NB,14.9,14.92,,3,2,3,1.0,,,,96
1036,29202200000NB,15.0,15.0056,,3,2,3,1.0,,,,99
1037,29202200000NB,15.0981,15.1,,3,2,3,1.0,,,,99
1038,29202200000NB,15.098,15.0981,,3,2,3,1.0,,,,99
1039,16200480000EB,24.243,24.3,,3,2,3,1.0,,,,132
1040,16200480000EB,24.37,24.4,,3,2,3,1.0,,,,85
1041,16200480000EB,24.2,24.243,,3,2,3,1.0,,,,132
1042,16200480000EB,24.3,24.369,,3,2,3,1.0,,,,85
1043,16200480000EB,28.8,28.832,,3,2,3,1.0,,,,101
1044,16200480000EB,28.832,28.8857,,3,2,3,1.0,,,,101
1045,16200480000EB,28.8857,28.9,,3,2,3,1.0,,,,101
1046,16200480000EB,24.369,24.37,,3,2,3,1.0,,,,85
1047,16200480000EB,29.3,29.3828,,3,2,3,1.0,,,,72
1048,16200480000EB,29.453,29.5,,3,2,3,1.0,,,,74
1049,16200480000EB,29.4,29.453,,3,2,3,1.0,,,,74
1050,16200480000EB,29.3828,29.4,,3,2,3,1.0,,,,72
1051,1930009000000,13.4,13.5,,3,2,3,1.0,,,,77
1052,1930009000000,13.55,13.6,,3,2,3,1.0,,,,53
1053,1930009000000,13.6,13.685,,3,2,3,1.0,,,,141
1054,1930009000000,13.5,13.55,,3,2,3,1.0,,,,53
1055,1930009000000,13.692,13.7,,3,2,3,1.0,,,,141
1056,1930009000000,13.685,13.689,,3,2,3,1.0,,,,141
1057,1930009000000,13.689,13.692,,3,2,3,1.0,,,,141
1058,1930009000000,6.635,6.681,,3,2,3,1.0,,,,178
1059,1930009000000,6.6,6.635,,3,2,3,1.0,,,,178
1060,1930009000000,6.681,6.7,,3,2,3,1.0,,,,178
1061,19203400000NB,14.7,14.8,,3,2,3,1.0,193400001466,,,68
1062,19203400000NB,14.8,14.86,,3,2,3,1.0,193400001466,,,74
1063,19203400000NB,14.86,14.9,,3,2,3,1.0,193400001486,,,74
1064,33205220000NB,18.6,18.6726,,3,2,3,1.0,,,,159
1065,33205220000NB,18.71,18.74,,3,2,3,1.0,,,,190
1066,33205220000NB,18.6726,18.7,,3,2,3,1.0,,,,159
1067,33205220000NB,18.7,18.71,,3,2,3,1.0,,,,190
1068,0230009000000,4.827,4.879,,3,2,3,1.0,020090000481,,,151
1069,0230009000000,4.879,4.9,,3,2,3,1.0,020090000481,,,151
1070,0230009000000,4.8,4.81,,3,2,3,1.0,,,,151
1071,0230009000000,4.81,4.827,,3,2,3,1.0,020090000481,,,151
1072,02100810000NB,23.4,23.437,,3,2,1,1.0,020810002300,3.0,,150
1073,02100810000NB,23.477,23.5,,3,2,1,1.0,020810002346,3.0,,150
1074,02100810000NB,23.4483,23.46,,3,2,1,1.0,020810002300,3.0,,150
1075,02100810000NB,23.46,23.477,,3,2,1,1.0,020810002346,3.0,,150
1076,02100810000NB,23.4439,23.4483,,3,2,1,1.0,020810002300,3.0,,150
1077,02100810000NB,23.437,23.4439,,3,2,1,1.0,020810002300,3.0,,150
1078,02100810000NB,25.9,26.0,,3,2,1,1.0,020810002453,3.0,,192
