ValidationRule,ValidationDescription,ROUTEID,BMP,EMP,DataItemsImpacted,StateId,DataYear,FacilityTypeVn,MaintenanceOperationsVn,NhsVn,OwnershipVn,AadtVn,AadtVd,FsystemVn,ThroughLanesVn,CountyIdVn,IsRestrictedVn,RouteQualifier,RouteSigning,RouteName,RouteNumber,SectionLength,UrbanIdVn,StrahnetTypeVn,NhfnVn,NnVn,signsystem,supp_code
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,1740073020000,1.59,2.08,Road Designation,54,2022,,,,,,,,,,,,,,,0.49,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,1740077020000,0.335,0.5657,Road Designation,54,2022,,,,,,,,,,,,,,,0.2307,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,1740077020000,0.5657,0.73,Road Designation,54,2022,,,,,,,,,,,,,,,0.1643,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4640003020000,0.5641,0.67,Road Designation,54,2022,,,,,,,,,,,,,,,0.1059,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4640003160000,1.9,2.14,Road Designation,54,2022,,,,,,,,,,,,,,,0.24,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,1740077020000,0.73,0.8561,Road Designation,54,2022,,,,,,,,,,,,,,,0.1261,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,1740077020000,0.24,0.335,Road Designation,54,2022,,,,,,,,,,,,,,,0.095,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4640003020000,0.51,0.5641,Road Designation,54,2022,,,,,,,,,,,,,,,0.0541,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4640001060000,1.26,1.26,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4640008000000,1.79,1.79,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,4640001040000,1.54,1.54,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,17100790017SB0125C,0.388,0.388,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,1,17
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,1740050330000,0.07,0.07,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
SJ-I-01,F_SYSTEM ValueNumeric must not be NULL AND For every F_SYSTEM record; there should be a corresponding route on ARNOLD,1340092010000,0.1,0.1,Road Designation,54,2022,,,,,,,,,,,,,,,0.0,,,,,4,0
