ROUTEID,BMP,EMP,F_SYSTEM,NHS,NN,STRAHNET_TYPE,hash
0140032020000,2.27,2.83,7.0,,,,0140032020000-2.27-2.83
0140032020000,2.83,3.0,7.0,,,,0140032020000-2.83-3.0
0140034000000,0.0,2.32,7.0,,,,0140034000000-0.0-2.32
0140036000000,0.0,0.28,7.0,,,,0140036000000-0.0-0.28
0140036000000,0.83,1.01,5.0,,,,0140036000000-0.83-1.01
0140036000000,1.01,5.56,6.0,,,,0140036000000-1.01-5.56
0140036010000,0.0,1.23,7.0,,,,0140036010000-0.0-1.23
0140036020000,0.0,1.17,7.0,,,,0140036020000-0.0-1.17
0140036020000,1.17,2.34,7.0,,,,0140036020000-1.17-2.34
0140036020000,2.34,2.99,7.0,,,,0140036020000-2.34-2.99
0140036030000,0.0,0.39,7.0,,,,0140036030000-0.0-0.39
0140038010000,0.0,0.53,7.0,,,,0140038010000-0.0-0.53
0140038020000,0.0,0.52,7.0,,,,0140038020000-0.0-0.52
0140038040000,0.0,0.2,7.0,,,,0140038040000-0.0-0.2
0140038080000,0.0,0.48,7.0,,,,0140038080000-0.0-0.48
0140038090000,0.0,0.46,7.0,,,,0140038090000-0.0-0.46
0140038090000,0.61,0.89,7.0,,,,0140038090000-0.61-0.89
0140038110000,0.0,0.64,7.0,,,,0140038110000-0.0-0.64
0140038110000,1.69,1.85,7.0,,,,0140038110000-1.69-1.85
0140038120000,0.0,0.47,7.0,,,,0140038120000-0.0-0.47
0140038130000,0.0,1.53,7.0,,,,0140038130000-0.0-1.53
0140038130000,1.53,2.28,7.0,,,,0140038130000-1.53-2.28
