,RouteId,BeginPoint,EndPoint,RouteNumber,FsystemVn,NhsVn,FacilityTypeVn,RouteSigning,DirThroughLanesVn,IriVn
377,06100640000WB,24.1,24.2,,1,1,6,,2,26
378,06100640000WB,24.2,24.3,,1,1,6,,2,29
379,06100640000WB,24.3,24.4,,1,1,6,,2,25
380,06100640000WB,22.9,23.0,,1,1,6,,2,33
381,06100640000WB,22.6,22.7,,1,1,6,,2,28
382,06100640000WB,22.7,22.8,,1,1,6,,2,37
383,06100640000WB,22.3,22.4,,1,1,6,,2,36
384,06100640000WB,22.0,22.1,,1,1,6,,2,32
385,06100640000WB,22.1,22.2,,1,1,6,,2,32
386,06100640000WB,21.6,21.7,,1,1,6,,2,43
387,06100640000WB,21.4,21.5,,1,1,6,,2,34
388,06100640000WB,21.3,21.4,,1,1,6,,2,31
389,06100640000WB,21.2,21.3,,1,1,6,,2,39
390,06100640000WB,20.9,21.0,,1,1,6,,2,29
391,06100640000WB,20.7,20.8,,1,1,6,,2,49
392,06100640000WB,20.8,20.9,,1,1,6,,2,34
393,06100640000WB,20.3,20.4,,1,1,6,,2,95
394,06100640000WB,20.4,20.5,,1,1,6,,2,80
395,06100640000WB,20.0112,20.1,,1,1,6,,2,73
396,06100640000WB,19.8,19.9,,1,1,6,,2,91
397,06100640000WB,19.9,20.0,,1,1,6,,2,63
398,06100640000WB,19.543,19.6,,1,1,6,,2,90
399,06100640000WB,19.6,19.7,,1,1,6,,2,75
400,06100640000WB,22.419,22.489,,1,1,6,,2,123
401,06100640000WB,20.1,20.193,,1,1,6,,2,61
402,06100640000WB,20.2,20.271,,1,1,6,,2,110
403,06100640000WB,21.7,21.75,,1,1,6,,2,70
404,06100640000WB,19.747,19.8,,1,1,6,,2,145
405,06100640000WB,19.5089,19.543,,1,1,6,,2,90
406,06100640000WB,21.1,21.16,,1,1,6,,2,27
407,06100640000WB,21.8276,21.9,,1,1,6,,2,114
408,06100640000WB,21.16,21.2,,1,1,6,,2,27
409,06100640000WB,22.4,22.419,,1,1,6,,2,123
410,06100640000WB,21.75,21.8,,1,1,6,,2,70
411,06100640000WB,23.9,23.926,,1,1,6,,2,114
412,06100640000WB,23.926,23.9634,,1,1,6,,2,114
413,06100640000WB,23.97,24.0,,1,1,6,,2,114
414,06100640000WB,23.0,23.034,,1,1,6,,2,121
415,06100640000WB,23.056,23.1,,1,1,6,,2,121
416,06100640000WB,20.5,20.5202,,1,1,6,,2,92
417,06100640000WB,20.271,20.3,,1,1,6,,2,110
418,06100640000WB,21.8,21.82,,1,1,6,,2,114
