BeginDate|StateID|RouteID|BeginPoint|EndPoint|Data_Item|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|0140052050000|0.0|0.23|ACCESS_CONTROL|3|||
12/31/2021|54|0140052060000|0.0|0.27|ACCESS_CONTROL|3|||
12/31/2021|54|0140054000000|0.0|2.96|ACCESS_CONTROL|3|||
12/31/2021|54|0140054010000|0.0|1.13|ACCESS_CONTROL|3|||
12/31/2021|54|0140054020000|0.0|0.98|ACCESS_CONTROL|3|||
12/31/2021|54|0140056000000|0.0|0.13|ACCESS_CONTROL|3|||
12/31/2021|54|0140056000000|0.154|1.88|ACCESS_CONTROL|3|||
12/31/2021|54|0140056010000|0.0|1.9|ACCESS_CONTROL|3|||
12/31/2021|54|0140056020000|0.0|0.8|ACCESS_CONTROL|3|||
12/31/2021|54|0140056030000|0.0|0.4|ACCESS_CONTROL|3|||
12/31/2021|54|0140057010000|0.0|2.43|ACCESS_CONTROL|3|||
12/31/2021|54|0140057020000|0.0|1.85|ACCESS_CONTROL|3|||
12/31/2021|54|0140057040000|0.0|1.15|ACCESS_CONTROL|3|||
12/31/2021|54|0140057050000|0.0|0.28|ACCESS_CONTROL|3|||
12/31/2021|54|0140057060000|0.0|0.97|ACCESS_CONTROL|3|||
12/31/2021|54|0140057070000|0.0|1.91|ACCESS_CONTROL|3|||
12/31/2021|54|0140057080000|0.0|2.03|ACCESS_CONTROL|3|||
12/31/2021|54|0140057100000|0.0|1.79|ACCESS_CONTROL|3|||
12/31/2021|54|0140057110000|0.0|0.6|ACCESS_CONTROL|3|||
12/31/2021|54|0140057110000|1.21|1.36|ACCESS_CONTROL|3|||
12/31/2021|54|0140057120000|0.0|1.7|ACCESS_CONTROL|3|||
12/31/2021|54|0140057130000|0.0|1.09|ACCESS_CONTROL|3|||
12/31/2021|54|0140057140000|0.0|1.13|ACCESS_CONTROL|3|||
12/31/2021|54|0140057150000|0.0|0.03|ACCESS_CONTROL|3|||
